,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
149,V97,103,86,198,140,217,148.8
150,V98,10,31,62,56,79,47.6
151,V99,387,474,784,695,877,643.4
152,V100,57,56,136,118,165,106.4
153,V101,24,28,30,56,59,39.4
154,V102,155,232,350,351,406,298.8
155,V103,41,45,61,94,94,67.0
156,V104,17,7,35,26,34,23.8
157,V105,53,70,165,152,205,129.0
158,V106,35,19,58,57,74,48.6
159,V107,0,0,0,0,0,0.0
160,V108,7,4,47,37,62,31.4
161,V109,109,10,47,41,92,59.8
162,V110,0,3,10,16,33,12.4
163,V111,0,0,1,2,12,3.0
164,V112,15,1,3,14,32,13.0
165,V113,0,0,1,2,1,0.8
166,V114,0,1,5,5,20,6.2
167,V115,13,5,78,98,148,68.4
168,V116,7,0,24,15,37,16.6
169,V117,0,0,0,0,0,0.0
170,V118,0,0,1,0,0,0.2
171,V119,0,0,0,1,0,0.2
172,V120,0,0,0,0,1,0.2
173,V121,0,0,1,6,17,4.8
174,V122,0,0,0,0,0,0.0
175,V123,9,21,69,52,104,51.0
176,V124,93,130,362,298,477,272.0
177,V125,16,29,103,100,121,73.8
178,V126,333,405,749,587,705,555.8
179,V127,1303,1475,2424,1930,2229,1872.2
180,V128,592,696,1234,1039,1064,925.0
181,V129,139,250,495,451,694,405.8
182,V130,1348,1603,2708,2254,2651,2112.8
183,V131,458,778,1320,1113,1242,982.2
184,V132,96,144,282,231,286,207.8
185,V133,399,506,842,758,857,672.4
186,V134,159,188,402,277,367,278.6
187,V135,115,110,305,235,315,216.0
188,V136,193,281,754,791,1052,614.2
189,V137,136,141,350,423,407,291.4
190,V138,5,10,8,6,12,8.2
191,V139,312,214,482,395,547,390.0
192,V140,197,181,333,248,315,254.8
193,V141,15,50,64,59,55,48.6
194,V142,7,30,38,39,49,32.6
195,V143,569,339,450,320,298,395.2
196,V144,382,175,230,141,166,218.8
197,V145,476,217,359,271,277,320.0
198,V146,70,44,70,72,95,70.2
199,V147,60,59,123,83,119,88.8
200,V148,89,64,114,132,135,106.8
201,V149,238,237,347,315,453,318.0
202,V150,587,252,390,276,331,367.2
203,V151,275,116,190,156,182,183.8
204,V152,129,164,333,368,403,279.4
205,V153,37,55,88,85,77,68.4
206,V154,31,42,137,84,69,72.6
207,V155,57,61,98,67,97,76.0
208,V156,142,188,339,291,310,254.0
209,V157,30,21,64,64,83,52.4
210,V158,31,36,102,83,132,76.8
211,V159,517,231,413,262,321,348.8
212,V160,459,305,632,520,618,506.8
213,V161,34,108,154,119,149,112.8
214,V162,17,78,123,112,200,106.0
215,V163,18,69,130,121,126,92.8
216,V164,641,350,513,361,403,453.6
217,V165,677,461,786,672,827,684.6
218,V166,541,248,399,300,300,357.6
219,V167,73,52,79,89,82,75.0
220,V168,80,92,112,105,121,102.0
221,V169,74,68,86,123,226,115.4
222,V170,137,119,225,221,320,204.4
223,V171,143,151,267,228,233,204.4
224,V172,30,44,79,68,69,58.0
225,V173,28,29,42,34,32,33.0
226,V174,43,24,51,49,60,45.4
227,V175,45,38,72,71,100,65.2
228,V176,26,35,96,61,116,66.8
229,V177,27,38,46,39,74,44.8
230,V178,53,52,117,93,167,96.4
231,V179,32,39,67,62,70,54.0
232,V180,47,64,98,69,99,75.4
233,V181,45,20,40,32,45,36.4
234,V182,30,36,61,57,86,54.0
235,V183,42,41,42,30,74,45.8
236,V184,19,27,63,53,93,51.0
237,V185,17,25,42,32,57,34.6
238,V186,11,30,45,56,85,45.4
239,V187,61,94,262,263,459,227.8
240,V188,32,46,144,122,158,100.4
241,V189,86,122,300,292,259,211.8
242,V190,17,22,45,55,92,46.2
243,V191,16,25,25,24,30,24.0
244,V192,30,51,56,43,51,46.2
245,V193,27,32,35,31,39,32.8
246,V194,12,11,26,19,25,18.6
247,V195,13,11,12,18,23,15.4
248,V196,20,23,15,17,19,18.8
249,V197,36,25,46,42,98,49.4
250,V198,139,19,38,30,51,55.4
251,V199,28,35,63,59,113,59.6
252,V200,53,72,173,167,167,126.4
253,V201,45,55,173,172,215,132.0
254,V202,262,193,387,293,374,301.8
255,V203,430,399,774,625,766,598.8
256,V204,202,206,384,298,419,301.8
257,V205,105,91,190,223,286,179.0
258,V206,79,84,160,137,222,136.4
259,V207,156,132,279,398,414,275.8
260,V208,110,165,336,360,517,297.6
261,V209,133,146,324,374,490,293.4
262,V210,77,139,298,283,468,253.0
263,V211,85,96,204,172,229,157.2
264,V212,119,114,222,241,409,221.0
265,V213,68,94,183,208,238,158.2
266,V214,112,89,191,147,254,158.6
267,V215,148,142,308,249,365,242.4
268,V216,133,113,225,209,267,189.4
269,V217,97,96,176,172,230,154.2
270,V218,205,223,342,216,325,262.2
271,V219,70,102,195,132,203,140.4
272,V220,22,56,99,148,277,120.4
273,V221,387,329,697,466,701,516.0
274,V222,337,269,595,422,500,424.6
275,V223,56,57,136,150,184,116.6
276,V224,101,158,281,239,325,220.8
277,V225,53,55,136,109,117,94.0
278,V226,39,54,170,160,169,118.4
279,V227,32,36,106,91,150,83.0
280,V228,28,40,103,108,121,80.0
281,V229,103,132,310,242,398,237.0
282,V230,46,67,142,145,172,114.4
283,V231,27,34,103,91,90,69.0
284,V232,56,84,187,167,234,145.6
285,V233,27,47,141,101,150,93.2
286,V234,104,175,325,295,299,239.6
287,V235,25,26,88,50,68,51.4
288,V236,65,41,120,85,90,80.2
289,V237,21,16,80,58,79,50.8
290,V238,44,43,68,65,117,67.4
291,V239,43,40,124,98,131,87.2
292,V240,0,0,2,1,2,1.0
293,V241,0,0,0,0,0,0.0
294,V242,27,21,62,44,100,50.8
295,V243,71,114,177,196,283,168.2
296,V244,33,49,77,55,82,59.2
297,V245,226,263,376,260,388,302.6
298,V246,37,50,79,58,102,65.2
